Emotion,Exp_ID,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,filler_type,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neg,IMDF_scanner,32.jpg,Faces_172_h.jpg,2,76,9999,red,TBF_neg,IMDF_scanner,no,,9999,46,46,2,4,TBF,two,98
neg,IMDF_scanner,305.jpg,People_223_h.jpg,2,70,9999,red,TBF_neg,IMDF_scanner,no,,9999,40,40,2,4,TBF,one,99
neg,IMDF_scanner,4.jpg,Faces_274_h.jpg,2,88,9999,green,TBR_neg,IMDF_scanner,no,,9999,58,58,2,4,TBR,two,100
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,101
neu,IMDF_scanner,542.jpg,neutral_568.jpg,2,9999,48,green,TBR_neu,IMDF_scanner,no,,78,9999,78,3,4,TBR,two,102
neg,IMDF_scanner,942.jpg,H123.bmp,2,9999,89,red,TBF_neg,IMDF_scanner,no,,9999,89,119,4,4,TBF,two,103
neu,IMDF_scanner,50.jpg,neutral_531.jpg,2,9999,44,green,TBR_neu,IMDF_scanner,no,,74,9999,74,3,4,TBR,one,104
neu,IMDF_scanner,102.jpg,neutral_003.jpg,2,32,9999,red,TBF_neu,IMDF_scanner,no,,32,9999,2,1,4,TBF,one,105
neu,IMDF_scanner,170.jpg,neutral_423.jpg,2,50,9999,red,TBF_neu,IMDF_scanner,no,,50,9999,20,1,4,TBF,two,106
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,107
neu,IMDF_scanner,132.jpg,neutral_585.jpg,2,40,9999,green,TBR_neu,IMDF_scanner,no,,40,9999,10,1,4,TBR,one,108
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,109
neg,IMDF_scanner,281.jpg,People_239_h.jpg,2,69,9999,green,TBR_neg,IMDF_scanner,no,,9999,39,39,2,4,TBR,one,110
neu,IMDF_scanner,560.jpg,neutral_148.jpg,2,9999,52,red,TBF_neu,IMDF_scanner,no,,82,9999,82,3,4,TBF,two,111
neu,IMDF_scanner,234.jpg,neutral_382.jpg,2,59,9999,red,TBF_neu,IMDF_scanner,no,,59,9999,29,1,4,TBF,two,112
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,113
neu,IMDF_scanner,151.jpg,neutral_132.jpg,2,44,9999,green,TBR_neu,IMDF_scanner,no,,44,9999,14,1,4,TBR,one,114
neu,IMDF_scanner,202.jpg,neutral_667.jpg,2,57,9999,green,TBR_neu,IMDF_scanner,no,,57,9999,27,1,4,TBR,two,115
neg,IMDF_scanner,267.jpg,Objects_011_h.jpg,2,65,9999,green,TBR_neg,IMDF_scanner,no,,9999,35,35,2,4,TBR,one,116
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,117
neg,IMDF_scanner,245.jpg,Animals_033_h.jpg,2,61,9999,green,TBR_neg,IMDF_scanner,no,,9999,31,31,2,4,TBR,one,118
neg,IMDF_scanner,246.jpg,Animals_062_h.jpg,2,62,9999,red,TBF_neg,IMDF_scanner,no,,9999,32,32,2,4,TBF,one,119
neu,IMDF_scanner,123.jpg,neutral_461.jpg,2,38,9999,green,TBR_neu,IMDF_scanner,no,,38,9999,8,1,4,TBR,one,120
neg,IMDF_scanner,25.jpg,Animals_078_h.jpg,2,63,9999,red,TBF_neg,IMDF_scanner,no,,9999,33,33,2,4,TBF,one,121
neu,IMDF_scanner,20.jpg,neutral_223.jpg,2,55,9999,red,TBF_neu,IMDF_scanner,no,,55,9999,25,1,4,TBF,two,122
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,123
neg,IMDF_scanner,366.jpg,1930.jpg,2,81,9999,green,TBR_neg,IMDF_scanner,no,,9999,51,51,2,4,TBR,two,124
neg,IMDF_scanner,316.jpg,Faces_019_h.jpg,2,74,9999,green,TBR_neg,IMDF_scanner,no,,9999,44,44,2,4,TBR,one,125
None,IMDF_scanner,,,2,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,126
neu,IMDF_scanner,668.jpg,neutral_194.jpg,2,9999,54,green,TBR_neu,IMDF_scanner,no,,84,9999,84,3,4,TBR,two,127
